"id","label","obsolete","ordering"
"Autre","Autre","0","20"
"CA","CA - Conseil d'Administration","0","1"
"CEVU","CEVU - Conseil des Etudes et de la Vie Universitaire","0","2"
"CS","CS - Conseil Scientifique","0","3"
"CTP","CTP - Comité Technique Paritaire","0","4"
"CPE","CPE - Commission Paritaire d'Etablissement","0","5"
"CHS","CHS - Comité d'Hygiène et de Sécurité","0","6"
"CM","Commission des Moyens","0","7"
"CV","Commission Valorisation","0","8"
"CSo","Commission Sociale","0","9"
"CAI","Commission Action Internationale","0","10"
"CCom","Commission Communication","0","11"
"CT","Commission TIC-TICE et SI","0","12"
"CC","Commission Culture","0","13"
"CVSA","Commission Vie sportive et associative","0","14"
"CARI","Conseil d'Administration des Ressources Informatiques","0","15"
"CED","Conseil des Ecoles Doctorales","0","16"
"CDoc","Conseil de la Documentation","0","17"
"CUFR","Conseil d'UFR ou de Département","0","18"
"Copil","Comité de Pilotage","0","19"
